creation_id,title,filename,created_at,preset,model,prompts,initial_resolution,runtime,seed,prompt_weight,refiner_weight,start_image_weight,noise_weight,sampling_method,clip_guidance,addon_models,control_net,start_image
orlhEnRqk0Ikklca3sYb,"we have the meats Pixar, Disney, concept art, 3d digital art, Maya 3D, ZBrush Central 3D shading, bright colored background, radial gradient...",orlhEnRqk0Ikklca3sYb--1--7pfl3.jpg,2023-01-23T22:38:58.717Z,none,dalle2,"weight: 1 ""we have the meats Pixar, Disney, concept art, 3d digital art, Maya 3D, ZBrush Central 3D shading, bright colored background, radial gradient background, cinematic, Reimagined by industrial light and magic, 4k resolution post processing""",Medium,Short,130306401,None,Off,50%,50%,None,None,None,None,No
F5DwFbaN306VH5lsOpXT,"Black history month Close-up portrait, color portrait, Linkedin profile picture, professional portrait photography by Martin Schoeller, by M...",F5DwFbaN306VH5lsOpXT--1--sx2fc.jpg,2023-01-23T22:57:24.899Z,none,dalle2,"weight: 1 ""Black history month Close-up portrait, color portrait, Linkedin profile picture, professional portrait photography by Martin Schoeller, by Mark Mann, by Steve McCurry, bokeh, studio lighting, canon lens, shot on dslr, 64 megapixels, sharp focus""",Medium,Short,3561857360,None,Off,50%,50%,None,None,None,None,No
wtWPFHCgJ0RjFhrE7bU5,The power of the witches cat,wtWPFHCgJ0RjFhrE7bU5--1--9pmt6.jpg,2023-01-24T00:18:39.520Z,none,dalle2,"weight: 1 ""The witches cat a masterpiece, 8k resolution, dark fantasy concept art, by Greg Rutkowski, dynamic lighting, hyperdetailed, intricately detailed, Splash screen art, trending on Artstation, deep color, Unreal Engine, volumetric lighting, Alphonse Mucha, Jordan Grimmer, purple and yellow complementary colours""",Medium,Short,347944656,None,Off,50%,50%,None,None,None,None,No
EKrhf70RZ4zNTWOyzQHJ,"Suck me off Studio Ghibli, Anime Key Visual, by Makoto Shinkai, Deep Color, Intricate, 8k resolution concept art, Natural Lighting, Beautifu...",EKrhf70RZ4zNTWOyzQHJ--1--uczv2.jpg,2023-01-24T00:20:45.991Z,none,dalle2,"weight: 1 ""Suck me off Studio Ghibli, Anime Key Visual, by Makoto Shinkai, Deep Color, Intricate, 8k resolution concept art, Natural Lighting, Beautiful Composition""",Medium,Short,3193072431,None,Off,50%,50%,None,None,None,None,No
blDho1cGOdaPSQhi2ELK,Little shop of horrors,blDho1cGOdaPSQhi2ELK--1--qo4ar.jpg,2023-01-24T00:22:06.851Z,none,dalle2,"weight: 1 ""Little shop of horrors""",Medium,Short,311301632,None,Off,50%,50%,None,None,None,None,No
K1nKCPA9uLsjiZL3LPsb,"The streets of tokyo a masterpiece, 8k resolution, dark fantasy concept art, by Greg Rutkowski, dynamic lighting, hyperdetailed, intricately...",K1nKCPA9uLsjiZL3LPsb--1--s8prl.jpg,2023-01-24T00:26:03.278Z,none,dalle2,"weight: 1 ""The streets of tokyo a masterpiece, 8k resolution, dark fantasy concept art, by Greg Rutkowski, dynamic lighting, hyperdetailed, intricately detailed, Splash screen art, trending on Artstation, deep color, Unreal Engine, volumetric lighting, Alphonse Mucha, Jordan Grimmer, purple and yellow complementary colours""",Medium,Short,3655785912,None,Off,50%,50%,None,None,None,None,No
ufj5CJfHalX32DLp0KIS,"Heart VS mind VS soul a masterpiece, 8k resolution, dark fantasy concept art, by Greg Rutkowski, dynamic lighting, hyperdetailed, intricatel...",ufj5CJfHalX32DLp0KIS--1--hqso9.jpg,2023-01-24T16:57:19.403Z,none,dalle2,"weight: 1 ""Heart VS mind VS soul a masterpiece, 8k resolution, dark fantasy concept art, by Greg Rutkowski, dynamic lighting, hyperdetailed, intricately detailed, Splash screen art, trending on Artstation, deep color, Unreal Engine, volumetric lighting, Alphonse Mucha, Jordan Grimmer, purple and yellow complementary colours""",Medium,Short,3147423671,None,Off,50%,50%,None,None,None,None,No
aYWBHEstWN6WBJb18ozw,"Heart VS mind a masterpiece, 8k resolution, dark fantasy concept art, by Greg Rutkowski, dynamic lighting, hyperdetailed, intricately detail...",aYWBHEstWN6WBJb18ozw--1--o9gjq.jpg,2023-01-24T16:58:07.741Z,none,dalle2,"weight: 1 ""Heart VS mind a masterpiece, 8k resolution, dark fantasy concept art, by Greg Rutkowski, dynamic lighting, hyperdetailed, intricately detailed, Splash screen art, trending on Artstation, deep color, Unreal Engine, volumetric lighting, Alphonse Mucha, Jordan Grimmer, purple and yellow complementary colours""",Medium,Short,1468466840,None,Off,50%,50%,None,None,None,None,No
mNhE83owOme00kUi0nd7,The kings crown ethereal fantasy hyperdetailed mist Thomas Kinkade heavenly sunshine beams divine bright soft focus holy in the clouds,mNhE83owOme00kUi0nd7--1--wfzgj.jpg,2023-01-25T01:25:50.947Z,none,dalle2,"weight: 1 ""The kings crown ethereal fantasy hyperdetailed mist Thomas Kinkade heavenly sunshine beams divine bright soft focus holy in the clouds""",Medium,Short,2918806146,None,Off,50%,50%,None,None,None,None,No
HTuWXv6vuHBYkTO56s7h,The temple of kings,HTuWXv6vuHBYkTO56s7h--1--hjjij.jpg,2023-01-25T01:26:50.923Z,none,dalle2,"weight: 1 ""The kings crown Epic cinematic brilliant stunning intricate meticulously detailed dramatic atmospheric maximalist digital matte painting ethereal fantasy hyperdetailed mist Thomas Kinkade surrealism Salvador Dali matte background melting oil on canvas heavenly sunshine beams divine bright soft focus holy in the clouds""",Medium,Short,710278776,None,Off,50%,50%,None,None,None,None,No
t2EdEf9v2FBYffk4hwuy,The ring castle,t2EdEf9v2FBYffk4hwuy--1--pwhjg.jpg,2023-01-25T01:27:30.467Z,none,dalle2,"weight: 1 ""the ring of power Epic cinematic brilliant stunning intricate meticulously detailed dramatic atmospheric maximalist digital matte painting ethereal fantasy hyperdetailed mist Thomas Kinkade surrealism Salvador Dali matte background melting oil on canvas heavenly sunshine beams divine bright soft focus holy in the clouds""",Medium,Short,1977282529,None,Off,50%,50%,None,None,None,None,No
clJRQNkJOOLyLBSasYNW,The kings lost crown,clJRQNkJOOLyLBSasYNW--1--3q6m4.jpg,2023-01-25T01:27:56.369Z,none,dalle2,"weight: 1 ""The kings crown Epic cinematic brilliant stunning intricate meticulously detailed dramatic atmospheric maximalist digital matte painting ethereal fantasy hyperdetailed mist Thomas Kinkade surrealism Salvador Dali matte background melting oil on canvas heavenly sunshine beams divine bright soft focus holy in the clouds""",Medium,Short,3696404272,None,Off,50%,50%,None,None,None,None,No
DPTV8c8IMZiHQHgr2agF,The giant king mountain,DPTV8c8IMZiHQHgr2agF--1--iidiq.jpg,2023-01-25T01:28:07.069Z,none,dalle2,"weight: 1 ""The kings crown Epic cinematic brilliant stunning intricate meticulously detailed dramatic atmospheric maximalist digital matte painting ethereal fantasy hyperdetailed mist Thomas Kinkade surrealism Salvador Dali matte background melting oil on canvas heavenly sunshine beams divine bright soft focus holy in the clouds""",Medium,Short,1787158264,None,Off,50%,50%,None,None,None,None,No
rM6OsAmUBqOUhUh0I9Pj,The lost kings crown,rM6OsAmUBqOUhUh0I9Pj--1--dcim7.jpg,2023-01-25T01:29:34.212Z,none,dalle2,"weight: 1 ""The lost kings crown a masterpiece, 8k resolution, dark fantasy concept art, by Greg Rutkowski, dynamic lighting, hyperdetailed, intricately detailed, Splash screen art, trending on Artstation, deep color, Unreal Engine, volumetric lighting, Alphonse Mucha, Jordan Grimmer, purple and yellow complementary colours""",Medium,Short,3198134047,None,Off,50%,50%,None,None,None,None,No
81JtB9oO6oLLIaJ57xvf,The lost land of the king,81JtB9oO6oLLIaJ57xvf--1--tka0l.jpg,2023-01-25T01:41:24.968Z,none,dalle2,"weight: 1 ""The lost land of the king a masterpiece, 8k resolution, dark fantasy concept art, by Greg Rutkowski, dynamic lighting, hyperdetailed, intricately detailed, Splash screen art, trending on Artstation, deep color, Unreal Engine, volumetric lighting, Alphonse Mucha, Jordan Grimmer, purple and yellow complementary colours""",Medium,Short,1933170882,None,Off,50%,50%,None,None,None,None,No
